id	name	description
defined	Defined - Faldo:ExactPosition	Event happens on position specified by position_one
range	Range - Faldo:InRangePosition	Event happens on the peptide between position_one (start) and position_two (end)
alternative	Alternative - Faldo:OneOfPosition	Event happens on position_one OR position_two
connect	Connected	Event happens on position_one AND position_two
unknown	Unknown - Faldo:FuzzyPosition	No position information available for the event
